Teneur en P2O5 (%),Teneur en CaO (%),Teneur en SiO2 (%),Humidité (%),Granulométrie (mm),Site d'extraction,Qualité du Phosphate
24.87,30.98,0.6,8.29,0.51,Sidi Chennane,Moyenne
18.72,26.69,6.04,6.45,1.22,Sidi Chennane,Faible
29.85,27.78,0.5,3.56,0.67,Sidi Dawui,Moyenne
18.71,25.28,9.55,8.92,1.37,Sidi Chennane,Faible
34.17,58.36,0.6,10.36,0.68,Sidi Chennane,Moyenne
22.41,25.84,0.6,10.34,0.8,Sidi Chennane,Moyenne
15.84,24.52,0.6,0.1,1.41,Sidi Chennane,Faible
27.68,44.46,0.6,10.53,0.64,Sidi Chennane,Moyenne
21.39,20.92,0.5,13.0,0.75,Sidi Dawui,Moyenne
34.4,39.13,0.5,1.72,1.53,Sidi Dawui,Moyenne
10.15,20.0,0.6,11.33,1.04,Sidi Chennane,Faible
14.13,24.24,2.4,12.35,0.6,Sidi Chennane,Faible
23.74,26.26,1.11,4.14,0.68,Sidi Chennane,Moyenne
39.22,37.12,0.5,10.68,2.3,Sidi Dawui,Haute
34.06,33.68,0.5,1.45,1.28,Sidi Dawui,Moyenne
31.45,20.0,7.93,9.74,0.75,Sidi Dawui,Moyenne
20.6,24.79,1.74,7.65,2.0,Sidi Chennane,Moyenne
19.05,20.0,0.5,12.75,1.42,Sidi Dawui,Faible
17.96,29.73,0.6,6.78,2.96,Sidi Chennane,Faible
28.31,25.23,1.1,6.42,2.03,Sidi Dawui,Moyenne
42.12,36.82,0.5,14.01,2.54,Sidi Dawui,Haute
35.63,40.11,0.5,14.01,0.76,Sidi Dawui,Haute
16.46,20.0,9.58,0.54,0.49,Sidi Dawui,Faible
24.54,24.15,11.15,7.28,1.85,Sidi Chennane,Moyenne
20.07,27.38,0.6,2.41,1.87,Sidi Chennane,Moyenne
26.34,20.47,3.53,4.11,0.92,Sidi Dawui,Moyenne
26.35,29.81,2.29,9.99,0.43,Sidi Chennane,Moyenne
29.0,45.58,1.87,1.94,1.28,Sidi Chennane,Moyenne
40.97,46.5,0.5,0.17,1.36,Sidi Dawui,Haute
24.86,27.88,7.22,10.91,0.34,Sidi Dawui,Moyenne
20.55,34.75,0.6,9.62,1.35,Sidi Chennane,Moyenne
35.51,42.3,0.5,13.54,2.51,Sidi Dawui,Haute
28.65,27.83,0.6,8.13,0.35,Sidi Chennane,Moyenne
28.14,30.09,0.5,14.18,1.53,Sidi Dawui,Moyenne
21.33,28.3,1.2,9.14,2.85,Sidi Chennane,Moyenne
22.43,20.0,0.5,5.81,3.0,Sidi Dawui,Moyenne
21.61,23.48,0.5,9.13,0.22,Sidi Dawui,Moyenne
39.89,29.27,0.5,11.24,2.39,Sidi Dawui,Haute
31.04,32.76,0.6,5.21,0.78,Sidi Chennane,Moyenne
31.84,34.95,1.47,5.59,0.71,Sidi Dawui,Moyenne
28.82,44.76,0.6,9.45,7.46,Sidi Chennane,Moyenne
24.78,36.54,0.6,6.83,1.19,Sidi Chennane,Moyenne
18.44,23.02,8.14,7.9,0.74,Sidi Chennane,Faible
24.78,39.88,0.6,14.73,1.9,Sidi Chennane,Moyenne
46.5,51.36,0.5,0.66,3.85,Sidi Dawui,Haute
22.27,32.6,0.6,9.72,1.15,Sidi Chennane,Moyenne
46.74,38.27,0.72,13.84,0.65,Sidi Dawui,Haute
13.0,20.0,0.5,3.54,1.08,Sidi Dawui,Faible
27.68,45.13,0.6,3.18,2.39,Sidi Chennane,Moyenne
33.29,40.09,1.3,5.44,0.78,Sidi Dawui,Moyenne
29.78,28.28,8.59,1.11,2.4,Sidi Dawui,Moyenne
33.34,32.05,3.31,8.4,0.89,Sidi Dawui,Moyenne
10.0,20.0,5.05,9.68,0.23,Sidi Chennane,Faible
21.12,31.79,2.45,12.3,3.37,Sidi Chennane,Moyenne
24.75,32.55,0.6,0.99,1.31,Sidi Chennane,Moyenne
45.95,25.49,0.5,6.54,2.32,Sidi Dawui,Haute
27.78,32.88,2.55,11.76,1.27,Sidi Dawui,Moyenne
25.14,32.08,1.47,11.52,1.03,Sidi Dawui,Moyenne
27.93,25.3,1.37,1.1,1.8,Sidi Dawui,Moyenne
28.27,34.13,0.6,0.17,0.88,Sidi Chennane,Moyenne
35.49,34.74,0.5,11.75,4.27,Sidi Dawui,Haute
19.16,26.88,1.23,2.07,0.98,Sidi Chennane,Faible
25.73,42.86,0.6,8.67,4.28,Sidi Chennane,Moyenne
33.38,33.66,0.5,1.41,1.62,Sidi Dawui,Moyenne
41.31,36.28,0.5,4.43,0.15,Sidi Dawui,Haute
18.08,20.82,0.6,2.37,0.45,Sidi Chennane,Faible
20.44,33.45,5.97,11.05,1.97,Sidi Chennane,Moyenne
20.03,31.6,0.6,10.09,0.48,Sidi Chennane,Moyenne
19.18,22.31,3.97,2.03,0.34,Sidi Dawui,Faible
35.19,29.95,0.5,0.89,2.79,Sidi Dawui,Haute
24.14,44.74,0.6,7.0,0.28,Sidi Chennane,Moyenne
22.53,23.82,0.6,2.93,1.86,Sidi Chennane,Moyenne
21.02,33.68,0.6,0.12,0.75,Sidi Chennane,Moyenne
19.62,20.0,2.56,3.96,1.75,Sidi Dawui,Faible
19.85,25.19,3.24,3.23,1.24,Sidi Chennane,Faible
20.34,36.44,0.85,10.27,0.19,Sidi Chennane,Moyenne
25.2,28.42,3.03,12.91,0.78,Sidi Dawui,Moyenne
31.03,28.42,0.5,3.56,0.82,Sidi Dawui,Moyenne
25.05,33.29,2.54,3.35,1.39,Sidi Chennane,Moyenne
49.66,50.43,0.5,5.82,1.29,Sidi Dawui,Haute
34.09,36.79,2.45,2.59,0.82,Sidi Dawui,Moyenne
24.12,41.55,1.16,14.2,0.4,Sidi Chennane,Moyenne
31.82,29.59,0.5,3.65,1.47,Sidi Dawui,Moyenne
10.41,20.0,7.77,1.4,2.01,Sidi Chennane,Faible
22.33,33.04,4.24,8.35,1.3,Sidi Chennane,Moyenne
33.05,30.72,3.52,8.06,0.84,Sidi Dawui,Moyenne
50.0,43.93,0.5,9.48,0.74,Sidi Dawui,Haute
30.75,32.16,0.5,14.5,0.48,Sidi Dawui,Moyenne
24.4,34.09,1.97,4.85,1.22,Sidi Chennane,Moyenne
32.18,33.7,2.01,5.39,1.17,Sidi Dawui,Moyenne
21.87,20.0,2.87,5.06,1.95,Sidi Dawui,Moyenne
29.7,46.11,0.6,9.43,0.61,Sidi Chennane,Moyenne
27.24,31.37,2.25,9.06,1.1,Sidi Chennane,Moyenne
27.48,34.64,2.18,7.93,0.35,Sidi Chennane,Moyenne
24.22,23.32,0.63,5.46,0.76,Sidi Dawui,Moyenne
31.34,57.4,0.6,6.41,0.64,Sidi Chennane,Moyenne
13.67,22.13,0.6,11.89,2.33,Sidi Chennane,Faible
37.84,44.11,2.98,9.14,3.92,Sidi Dawui,Haute
36.3,60.0,0.6,10.74,0.39,Sidi Chennane,Haute
16.26,36.5,1.8,4.15,2.07,Sidi Chennane,Faible
27.35,27.52,0.5,13.67,1.72,Sidi Dawui,Moyenne
23.13,40.71,0.6,0.53,0.64,Sidi Chennane,Moyenne
27.92,32.27,0.5,8.94,0.55,Sidi Dawui,Moyenne
12.73,21.21,0.6,12.19,0.54,Sidi Chennane,Faible
33.12,42.17,0.5,12.99,0.74,Sidi Dawui,Moyenne
15.81,21.36,7.77,4.79,0.75,Sidi Chennane,Faible
36.81,33.99,0.5,6.9,0.88,Sidi Dawui,Haute
24.13,25.32,1.91,0.52,0.67,Sidi Dawui,Moyenne
32.26,45.29,0.6,11.85,1.91,Sidi Chennane,Moyenne
17.57,26.62,2.43,1.87,1.5,Sidi Chennane,Faible
20.47,36.68,0.6,6.42,0.87,Sidi Chennane,Moyenne
27.63,36.97,0.6,14.86,0.65,Sidi Chennane,Moyenne
14.75,20.3,7.1,13.77,0.64,Sidi Chennane,Faible
34.57,35.5,0.5,4.95,1.42,Sidi Dawui,Moyenne
30.73,42.84,0.6,3.36,1.05,Sidi Chennane,Moyenne
12.37,20.0,9.0,3.78,1.17,Sidi Chennane,Faible
23.66,31.13,1.41,10.27,1.99,Sidi Chennane,Moyenne
34.86,38.55,0.5,10.89,0.96,Sidi Dawui,Moyenne
39.61,48.38,0.5,3.25,2.99,Sidi Dawui,Haute
14.71,20.0,7.07,3.6,0.2,Sidi Chennane,Faible
14.18,20.0,0.6,4.85,0.35,Sidi Chennane,Faible
25.79,37.42,0.6,6.5,4.25,Sidi Chennane,Moyenne
24.37,23.96,0.6,13.76,0.73,Sidi Chennane,Moyenne
24.08,32.4,0.6,0.4,1.27,Sidi Chennane,Moyenne
35.65,26.13,2.25,9.57,2.73,Sidi Dawui,Haute
18.22,31.85,0.6,12.93,1.32,Sidi Chennane,Faible
23.96,30.52,1.48,10.85,2.08,Sidi Chennane,Moyenne
35.17,44.11,0.5,3.25,1.64,Sidi Dawui,Haute
26.0,30.45,1.38,7.15,2.2,Sidi Dawui,Moyenne
49.48,44.56,0.5,13.65,1.48,Sidi Dawui,Haute
36.81,30.74,5.52,1.74,1.79,Sidi Dawui,Moyenne
14.99,21.01,0.6,14.81,0.63,Sidi Chennane,Faible
26.64,37.86,0.6,2.15,1.52,Sidi Chennane,Moyenne
23.63,24.89,0.5,2.14,0.97,Sidi Dawui,Moyenne
39.66,34.92,0.5,12.19,0.93,Sidi Dawui,Haute
43.04,47.99,0.5,12.43,0.26,Sidi Dawui,Haute
25.03,26.05,8.34,0.57,0.71,Sidi Dawui,Moyenne
28.57,39.11,0.6,2.52,0.9,Sidi Chennane,Moyenne
36.26,32.28,0.5,14.23,3.47,Sidi Dawui,Haute
27.68,38.84,0.6,4.19,0.8,Sidi Chennane,Moyenne
49.76,43.51,0.5,0.18,1.25,Sidi Dawui,Haute
30.27,30.54,3.39,3.81,3.0,Sidi Dawui,Moyenne
25.64,25.98,2.91,11.03,0.37,Sidi Dawui,Moyenne
24.41,25.39,4.03,13.75,0.74,Sidi Dawui,Moyenne
25.08,31.89,0.5,2.33,2.02,Sidi Dawui,Moyenne
22.01,31.15,5.04,3.37,7.21,Sidi Chennane,Moyenne
35.6,41.11,2.29,6.62,0.2,Sidi Dawui,Haute
24.24,36.25,0.6,11.22,0.91,Sidi Chennane,Moyenne
40.03,38.56,1.07,9.88,1.65,Sidi Dawui,Haute
22.58,32.02,0.68,4.91,1.96,Sidi Chennane,Moyenne
31.66,45.31,0.6,1.0,6.03,Sidi Chennane,Moyenne
30.09,31.39,0.5,3.79,0.6,Sidi Dawui,Moyenne
50.0,48.8,0.5,3.29,0.83,Sidi Dawui,Haute
38.19,29.58,0.5,0.32,0.27,Sidi Dawui,Haute
24.7,27.19,4.31,14.63,1.11,Sidi Dawui,Moyenne
15.75,25.9,0.6,3.83,1.51,Sidi Chennane,Faible
36.89,41.12,0.5,12.55,5.33,Sidi Dawui,Haute
30.47,31.19,0.5,7.27,3.91,Sidi Dawui,Moyenne
39.0,43.6,0.5,14.58,3.36,Sidi Dawui,Haute
36.81,40.85,0.5,2.24,0.57,Sidi Dawui,Haute
31.84,35.7,0.5,1.66,1.41,Sidi Dawui,Moyenne
24.79,21.52,2.7,0.04,1.37,Sidi Dawui,Moyenne
18.71,20.0,3.26,10.78,1.45,Sidi Dawui,Faible
28.44,26.74,0.94,4.6,0.97,Sidi Dawui,Moyenne
40.29,40.19,0.5,13.06,2.47,Sidi Dawui,Haute
23.85,33.17,10.29,9.51,0.75,Sidi Chennane,Moyenne
21.16,20.0,2.13,8.66,1.3,Sidi Dawui,Moyenne
34.08,43.1,2.58,7.3,3.2,Sidi Dawui,Moyenne
24.93,34.49,3.06,3.87,5.6,Sidi Chennane,Moyenne
16.93,25.11,10.16,0.97,0.52,Sidi Chennane,Faible
33.9,40.39,1.14,6.65,1.55,Sidi Dawui,Moyenne
33.03,21.11,0.5,1.49,1.44,Sidi Dawui,Moyenne
22.1,20.36,2.5,13.59,2.65,Sidi Dawui,Moyenne
24.75,33.63,0.6,12.44,3.69,Sidi Chennane,Moyenne
37.6,35.66,1.27,9.3,0.77,Sidi Dawui,Haute
42.36,41.23,0.5,6.79,0.94,Sidi Dawui,Haute
42.09,51.46,1.88,6.81,1.06,Sidi Dawui,Haute
19.96,22.03,1.93,6.97,1.47,Sidi Dawui,Faible
16.59,27.5,5.79,11.18,1.94,Sidi Chennane,Faible
37.19,37.46,0.5,1.89,0.74,Sidi Dawui,Haute
25.74,29.17,0.6,7.97,4.42,Sidi Chennane,Moyenne
37.19,25.29,0.5,12.19,0.23,Sidi Dawui,Haute
50.0,49.71,0.5,7.65,0.38,Sidi Dawui,Haute
26.1,39.78,7.36,0.21,1.63,Sidi Chennane,Moyenne
29.65,43.04,0.6,3.67,0.88,Sidi Chennane,Moyenne
28.51,39.85,0.6,10.03,0.64,Sidi Chennane,Moyenne
26.6,36.25,0.6,14.01,2.15,Sidi Chennane,Moyenne
29.63,38.8,0.5,13.41,1.92,Sidi Dawui,Moyenne
27.28,34.42,0.6,12.34,2.72,Sidi Chennane,Moyenne
25.47,29.1,2.76,14.25,0.44,Sidi Dawui,Moyenne
30.34,30.35,0.5,4.2,1.92,Sidi Dawui,Moyenne
28.08,27.82,0.5,0.19,1.9,Sidi Dawui,Moyenne
33.25,39.26,0.5,5.32,0.45,Sidi Dawui,Moyenne
50.0,60.0,0.5,8.66,1.03,Sidi Dawui,Haute
15.51,20.0,0.5,4.75,2.17,Sidi Dawui,Faible
26.82,43.51,0.6,0.66,2.93,Sidi Chennane,Moyenne
17.82,20.0,4.17,7.61,0.89,Sidi Dawui,Faible
19.53,28.24,0.6,3.0,0.42,Sidi Chennane,Faible
29.36,43.74,0.6,10.91,3.41,Sidi Chennane,Moyenne
22.9,29.58,0.6,1.34,1.03,Sidi Chennane,Moyenne
22.69,21.62,4.76,14.37,0.22,Sidi Dawui,Moyenne
17.99,23.67,0.7,13.15,0.83,Sidi Chennane,Faible
26.78,44.05,1.53,13.11,2.48,Sidi Chennane,Moyenne
17.9,25.48,0.6,11.85,0.38,Sidi Chennane,Faible
34.47,27.59,5.53,9.5,1.1,Sidi Dawui,Moyenne
22.79,29.25,0.6,0.8,0.77,Sidi Chennane,Moyenne
18.39,20.0,0.6,9.94,0.97,Sidi Chennane,Faible
50.0,48.05,0.5,11.2,0.71,Sidi Dawui,Haute
38.27,38.49,0.5,1.96,1.5,Sidi Dawui,Haute
14.07,20.0,0.5,9.24,0.84,Sidi Dawui,Faible
34.2,44.61,1.62,7.18,1.69,Sidi Dawui,Moyenne
26.48,28.82,0.5,7.09,0.75,Sidi Dawui,Moyenne
40.26,43.54,0.5,2.99,2.45,Sidi Dawui,Haute
25.29,20.0,0.5,11.09,1.01,Sidi Dawui,Moyenne
31.46,29.69,0.5,13.88,0.38,Sidi Dawui,Moyenne
37.1,34.32,0.5,11.82,0.5,Sidi Dawui,Haute
27.95,35.5,0.6,5.54,0.4,Sidi Chennane,Moyenne
14.94,20.0,5.57,14.76,0.41,Sidi Chennane,Faible
29.46,21.26,0.5,5.46,0.35,Sidi Dawui,Moyenne
28.18,22.65,1.01,3.52,0.42,Sidi Dawui,Moyenne
26.55,30.13,2.35,14.52,1.0,Sidi Dawui,Moyenne
48.57,47.5,0.5,11.85,1.81,Sidi Dawui,Haute
36.19,33.37,0.5,11.42,0.34,Sidi Dawui,Haute
14.56,21.01,0.6,1.16,0.53,Sidi Chennane,Faible
40.85,48.19,2.87,2.88,1.9,Sidi Dawui,Haute
50.0,51.85,0.5,0.28,0.88,Sidi Dawui,Haute
29.0,45.38,0.6,11.65,0.25,Sidi Chennane,Moyenne
18.67,20.0,4.18,4.17,1.03,Sidi Dawui,Faible
28.09,25.42,0.5,1.98,1.34,Sidi Dawui,Moyenne
44.03,46.43,0.5,2.73,1.29,Sidi Dawui,Haute
26.06,33.65,3.64,9.62,6.03,Sidi Dawui,Moyenne
36.54,44.58,0.5,6.5,0.55,Sidi Dawui,Haute
27.38,43.1,0.6,14.12,2.41,Sidi Chennane,Moyenne
24.06,24.63,0.5,5.49,0.98,Sidi Dawui,Moyenne
31.96,38.85,0.5,12.51,1.45,Sidi Dawui,Moyenne
10.0,20.0,10.49,8.2,0.59,Sidi Chennane,Faible
16.05,20.0,8.73,10.58,0.58,Sidi Chennane,Faible
20.91,25.3,1.27,2.53,0.37,Sidi Chennane,Moyenne
21.15,22.25,3.4,11.23,0.31,Sidi Dawui,Moyenne
47.35,34.34,0.5,1.28,1.71,Sidi Dawui,Haute
19.49,20.0,0.5,10.37,0.65,Sidi Dawui,Faible
28.5,25.43,1.1,6.98,7.66,Sidi Dawui,Moyenne
33.69,32.36,0.5,3.43,0.68,Sidi Dawui,Moyenne
45.62,43.6,0.5,7.21,1.71,Sidi Dawui,Haute
13.45,20.0,2.6,12.84,1.05,Sidi Chennane,Faible
29.83,48.56,0.6,2.32,0.23,Sidi Chennane,Moyenne
22.56,31.26,0.6,2.54,0.34,Sidi Chennane,Moyenne
23.57,22.17,0.5,8.01,0.3,Sidi Dawui,Moyenne
25.41,29.09,3.74,9.38,3.24,Sidi Chennane,Moyenne
34.31,39.72,4.25,6.3,2.83,Sidi Dawui,Moyenne
27.04,24.24,0.5,4.0,4.67,Sidi Dawui,Moyenne
33.14,27.59,1.35,1.01,0.17,Sidi Dawui,Moyenne
20.07,29.94,0.6,0.75,0.33,Sidi Chennane,Moyenne
23.22,29.58,0.6,0.61,1.62,Sidi Chennane,Moyenne
26.67,35.41,0.6,13.52,0.54,Sidi Chennane,Moyenne
32.49,48.8,0.6,1.97,1.74,Sidi Chennane,Moyenne
21.24,20.17,2.13,4.43,0.7,Sidi Dawui,Moyenne
50.0,60.0,0.5,14.79,0.65,Sidi Dawui,Haute
14.74,20.0,1.98,13.91,0.23,Sidi Dawui,Faible
31.12,34.08,0.5,0.64,0.63,Sidi Dawui,Moyenne
37.85,26.55,0.5,8.27,1.35,Sidi Dawui,Haute
35.06,30.42,0.5,9.5,0.45,Sidi Dawui,Haute
26.83,22.35,3.21,0.81,1.06,Sidi Dawui,Moyenne
21.19,26.11,0.6,10.92,0.43,Sidi Chennane,Moyenne
28.01,29.8,7.04,14.82,0.54,Sidi Dawui,Moyenne
27.14,31.46,0.5,6.44,0.57,Sidi Dawui,Moyenne
40.23,42.36,0.5,6.74,1.45,Sidi Dawui,Haute
35.75,34.5,0.5,9.89,1.99,Sidi Dawui,Haute
26.19,23.65,0.5,11.05,4.35,Sidi Dawui,Moyenne
28.17,47.66,0.6,11.85,1.87,Sidi Chennane,Moyenne
35.3,46.54,0.5,1.16,1.34,Sidi Dawui,Haute
39.9,40.73,1.39,12.01,4.14,Sidi Dawui,Haute
38.23,43.75,0.5,12.96,1.25,Sidi Dawui,Haute
24.96,26.27,1.09,0.68,1.63,Sidi Dawui,Moyenne
27.4,30.59,1.73,0.59,2.15,Sidi Dawui,Moyenne
27.21,32.26,3.26,8.26,1.15,Sidi Chennane,Moyenne
38.05,35.2,0.68,7.45,0.95,Sidi Dawui,Haute
32.31,34.28,0.53,14.7,0.88,Sidi Dawui,Moyenne
33.57,39.83,0.76,4.42,0.63,Sidi Dawui,Moyenne
44.13,38.57,0.5,8.85,0.67,Sidi Dawui,Haute
18.77,20.0,13.23,7.6,2.34,Sidi Chennane,Faible
25.95,34.61,0.6,8.04,0.42,Sidi Chennane,Moyenne
30.66,35.42,1.95,9.9,1.12,Sidi Dawui,Moyenne
30.52,23.08,0.5,8.06,0.98,Sidi Dawui,Moyenne
42.5,34.8,0.5,0.1,0.32,Sidi Dawui,Haute
27.7,40.97,0.6,12.66,1.96,Sidi Chennane,Moyenne
39.9,39.19,0.5,3.02,0.34,Sidi Dawui,Haute
30.72,48.44,0.6,3.47,0.55,Sidi Chennane,Moyenne
22.63,26.51,0.6,9.72,0.93,Sidi Chennane,Moyenne
38.71,36.77,0.5,7.17,3.29,Sidi Dawui,Haute
20.55,35.13,3.89,8.62,1.52,Sidi Chennane,Moyenne
35.45,28.94,3.07,7.46,1.28,Sidi Dawui,Haute
31.32,38.43,0.5,6.27,2.95,Sidi Dawui,Moyenne
23.11,27.9,0.6,7.25,0.81,Sidi Chennane,Moyenne
26.25,42.87,0.6,2.12,4.95,Sidi Chennane,Moyenne
17.35,23.62,1.94,14.54,1.5,Sidi Chennane,Faible
50.0,42.46,0.5,8.62,1.11,Sidi Dawui,Haute
16.16,21.56,4.02,4.3,0.24,Sidi Chennane,Faible
21.45,23.25,0.5,10.69,2.18,Sidi Dawui,Moyenne
29.8,42.99,0.6,13.2,1.54,Sidi Chennane,Moyenne
39.7,46.54,0.5,4.45,0.84,Sidi Dawui,Haute
38.18,46.61,0.5,4.87,0.67,Sidi Dawui,Haute
26.46,31.26,0.6,6.58,5.01,Sidi Chennane,Moyenne
32.39,26.13,0.5,3.26,0.53,Sidi Dawui,Moyenne
16.85,20.0,9.19,12.15,1.32,Sidi Chennane,Faible
33.19,28.6,0.5,8.76,1.03,Sidi Dawui,Moyenne
26.34,30.81,4.95,0.86,1.73,Sidi Dawui,Moyenne
41.37,44.94,0.5,14.95,0.21,Sidi Dawui,Haute
31.16,28.55,0.5,8.62,1.71,Sidi Dawui,Moyenne
24.99,24.95,0.5,13.35,3.6,Sidi Dawui,Moyenne
29.58,35.97,5.84,7.52,0.22,Sidi Dawui,Moyenne
36.26,46.9,0.5,8.74,0.47,Sidi Dawui,Haute
27.37,28.46,0.5,6.82,1.57,Sidi Dawui,Moyenne
17.32,20.0,0.6,6.34,0.9,Sidi Chennane,Faible
34.72,36.31,0.86,3.27,1.72,Sidi Dawui,Moyenne
24.04,39.72,0.6,14.43,1.81,Sidi Chennane,Moyenne
27.89,28.85,0.5,2.73,1.2,Sidi Dawui,Moyenne
28.21,31.37,0.5,7.9,4.1,Sidi Dawui,Moyenne
23.96,36.51,2.27,1.31,1.83,Sidi Chennane,Moyenne
13.38,20.0,6.71,14.9,0.35,Sidi Chennane,Faible
19.69,20.0,0.5,8.34,1.75,Sidi Dawui,Faible
25.96,24.68,0.5,12.22,0.97,Sidi Dawui,Moyenne
21.16,35.57,0.6,8.44,1.55,Sidi Chennane,Moyenne
35.33,31.17,0.5,12.07,2.55,Sidi Dawui,Haute
31.79,49.15,0.6,8.02,3.64,Sidi Chennane,Moyenne
40.3,42.19,0.5,6.67,1.07,Sidi Dawui,Haute
31.04,38.62,0.5,6.84,1.96,Sidi Dawui,Moyenne
32.33,32.12,2.06,0.04,0.42,Sidi Dawui,Moyenne
16.18,20.0,0.6,5.56,0.69,Sidi Chennane,Faible
32.33,35.55,0.5,14.28,0.64,Sidi Dawui,Moyenne
29.87,39.7,0.72,10.13,2.29,Sidi Dawui,Moyenne
35.44,39.32,0.5,13.79,3.98,Sidi Dawui,Haute
17.29,21.95,5.67,3.0,12.83,Sidi Chennane,Faible
37.23,31.03,0.5,7.37,1.99,Sidi Dawui,Haute
32.16,39.64,0.6,0.52,2.46,Sidi Chennane,Moyenne
31.51,41.22,0.5,10.16,0.25,Sidi Dawui,Moyenne
25.03,34.33,3.08,11.76,0.24,Sidi Chennane,Moyenne
26.85,34.83,0.68,11.22,0.5,Sidi Chennane,Moyenne
19.97,28.15,0.83,1.3,0.37,Sidi Chennane,Faible
34.54,32.86,3.47,3.71,1.51,Sidi Dawui,Moyenne
22.58,40.48,4.86,9.84,4.01,Sidi Chennane,Moyenne
33.39,28.18,1.96,11.38,1.01,Sidi Dawui,Moyenne
25.47,30.09,0.5,4.11,0.59,Sidi Dawui,Moyenne
22.65,33.34,3.1,6.09,1.28,Sidi Chennane,Moyenne
37.03,43.91,0.5,5.27,0.56,Sidi Dawui,Haute
45.71,56.83,0.5,0.07,0.65,Sidi Dawui,Haute
28.54,41.77,0.6,8.65,0.86,Sidi Chennane,Moyenne
50.0,49.57,0.5,10.04,1.36,Sidi Dawui,Haute
25.52,25.78,0.5,4.15,0.26,Sidi Dawui,Moyenne
40.44,39.85,0.5,10.32,0.2,Sidi Dawui,Haute
34.17,25.46,0.5,3.64,0.5,Sidi Dawui,Moyenne
36.3,60.0,0.6,10.73,1.52,Sidi Chennane,Haute
25.14,26.1,2.73,6.86,0.36,Sidi Dawui,Moyenne
24.86,20.41,0.5,13.08,4.34,Sidi Dawui,Moyenne
27.05,20.0,0.5,8.17,1.98,Sidi Dawui,Moyenne
13.17,20.0,0.5,2.77,1.71,Sidi Dawui,Faible
27.72,31.0,2.95,12.33,1.98,Sidi Dawui,Moyenne
25.59,23.15,1.13,11.67,1.41,Sidi Dawui,Moyenne
33.87,31.5,0.5,1.26,1.5,Sidi Dawui,Moyenne
35.61,38.28,2.78,0.72,2.7,Sidi Dawui,Haute
49.57,45.64,0.5,2.04,2.23,Sidi Dawui,Haute
28.49,44.61,0.6,12.68,1.27,Sidi Chennane,Moyenne
27.25,27.65,0.5,4.81,4.66,Sidi Dawui,Moyenne
16.84,24.01,4.81,7.57,1.06,Sidi Chennane,Faible
36.98,28.03,0.5,9.04,0.69,Sidi Dawui,Haute
20.49,20.0,4.39,11.15,0.31,Sidi Dawui,Moyenne
49.17,53.72,0.5,12.45,0.56,Sidi Dawui,Haute
43.23,38.7,0.5,7.74,2.62,Sidi Dawui,Haute
28.23,33.47,0.6,6.24,0.97,Sidi Dawui,Moyenne
16.91,23.01,0.5,2.94,1.47,Sidi Dawui,Faible
44.82,49.35,0.5,9.11,1.07,Sidi Dawui,Haute
21.78,38.68,3.63,8.25,0.38,Sidi Chennane,Moyenne
30.3,48.62,0.6,4.37,0.79,Sidi Chennane,Moyenne
17.99,20.0,0.5,6.69,0.51,Sidi Dawui,Faible
27.05,27.88,4.12,11.09,0.71,Sidi Dawui,Moyenne
22.53,42.63,8.7,9.41,0.49,Sidi Chennane,Moyenne
32.93,30.28,1.1,7.23,1.47,Sidi Dawui,Moyenne
